OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
תל אביב-יפו,אופקים,32.066157,34.777821,31.311336,34.622825,832.9,147.3,5712,Haifa,Southern,Israel
אופקים,תל אביב-יפו,31.311336,34.622825,32.066157,34.777821,943.1,173.5,5713,Southern,Haifa,Israel
תל אביב-יפו,אשכולות,32.066157,34.777821,31.39117,34.904857,160.1,29.0,5714,Haifa,Southern,Israel
אשכולות,תל אביב-יפו,31.39117,34.904857,32.066157,34.777821,187.0,33.1,5715,Southern,Haifa,Israel
באר שבע,איתמר,31.252972,34.791464,32.173868,35.30803,1451.9,260.1,5716,Southern,Unknown,Israel
איתמר,באר שבע,32.173868,35.30803,31.252972,34.791464,1351.4,252.8,5717,Unknown,Southern,Israel
באר שבע,ערד,31.252972,34.791464,31.261446,35.214863,4299.9,772.9,5718,Southern,Southern,Israel
ערד,באר שבע,31.261446,35.214863,31.252972,34.791464,3525.7,630.1,5719,Southern,Southern,Israel
תל אביב-יפו,ערד,32.066157,34.777821,31.261446,35.214863,181.6,22.7,5720,Haifa,Southern,Israel
ערד,תל אביב-יפו,31.261446,35.214863,32.066157,34.777821,243.8,35.2,5721,Southern,Haifa,Israel
תל אביב-יפו,אילת,32.066157,34.777821,29.557668,34.951926,638.2,94.3,5722,Haifa,Southern,Israel
אילת,תל אביב-יפו,29.557668,34.951926,32.066157,34.777821,606.1,96.9,5723,Southern,Haifa,Israel
